"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3911","TC_P06 - Add To Cart buttons are present","chromium","2026-06-04","passed","2026-06-04","Module 2: Product Catalog","products\products.spec.js","",""
"","5774","TC_CH13 - Cart is accessible after adding a book","chromium","2026-06-04","passed","2026-06-04","Module 4: Checkout & User Account","checkout\checkout.spec.js","",""
"","313","TC_API14 - GET / (home page) returns HTTP 200","chromium","2026-06-04","passed","2026-06-04","Module 8: API Testing","api\api.spec.js","",""
"","3921","TC_A10 - Register Link Visible on Login Page","chromium","2026-06-04","passed","2026-06-04","Module 1: Authentication Management","auth\login.spec.js","",""
"","6133","TC_P07 - Clicking a book title opens book detail page","chromium","2026-06-04","passed","2026-06-04","Module 2: Product Catalog","products\products.spec.js","",""
"","3846","TC_P01 - Bookstore page loads with correct URL","chromium","2026-06-04","passed","2026-06-04","Module 2: Product Catalog","products\products.spec.js","",""
"","6953","TC_P03 - Book links are visible on listing page","chromium","2026-06-04","passed","2026-06-04","Module 2: Product Catalog","products\products.spec.js","",""
"","291","TC_API15 - GET non-existent page returns HTTP 404","chromium","2026-06-04","passed","2026-06-04","Module 8: API Testing","api\api.spec.js","",""
"","2545","TC_C02 - Cart page has ""Shopping Cart"" heading","chromium","2026-06-04","passed","2026-06-04","Module 3: Shopping Cart","cart\cart.spec.js","",""
"","3594","TC_CH15 - Sign In page renders without JavaScript errors","chromium","2026-06-04","passed","2026-06-04","Module 4: Checkout & User Account","checkout\checkout.spec.js","",""
"","5780","TC_A14 - SQL Injection in Login Fields","chromium","2026-06-04","passed","2026-06-04","Module 1: Authentication Management","auth\login.spec.js","",""
"","5461","TC_P09 - Book detail page has Add to Cart button","chromium","2026-06-04","passed","2026-06-04","Module 2: Product Catalog","products\products.spec.js","",""
"","3617","TC_A15 - Login Page UI Elements Present","chromium","2026-06-04","passed","2026-06-04","Module 1: Authentication Management","auth\login.spec.js","",""
"","3654","TC_PR04 - Profile page title contains ""profile"" or ""user""","chromium","2026-06-04","passed","2026-06-04","Module 7: User Profile & Secure Area","profile\profile.spec.js","",""
"","2824","TC_C01 - Cart page loads with correct URL","chromium","2026-06-04","passed","2026-06-04","Module 3: Shopping Cart","cart\cart.spec.js","",""
"","3777","TC_CH04 - Sign In page has password input field","chromium","2026-06-04","passed","2026-06-04","Module 4: Checkout & User Account","checkout\checkout.spec.js","",""
